pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
broad_lam_like,program_2,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,0.5057380794196135
broad_lam_like,program_3,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,-0.21887446917203193
broad_lam_like,program_4,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,-0.31739969081921643
broad_lam_like,program_5,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,0.24599288506639164
broad_lam_like,program_1,hormone_related,LAM-shared,supported,gene_set,0,,0.0,0.43676007956131707
broad_lam_like,program_2,hormone_related,LAM-shared,supported,gene_set,0,,0.0,-0.5831590481950577
broad_lam_like,program_3,hormone_related,LAM-shared,supported,gene_set,1,IGF1R,0.017857142857142856,0.449975901183287
broad_lam_like,program_4,hormone_related,LAM-shared,supported,gene_set,0,,0.0,0.21685853735064134
broad_lam_like,program_5,hormone_related,LAM-shared,supported,gene_set,0,,0.0,-0.01891371525038485
broad_lam_like,program_1,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,0.1817282918213243
broad_lam_like,program_2,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,0.25487499027185095
broad_lam_like,program_3,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,-0.06267518160591712
broad_lam_like,program_4,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,-0.17883628215800867
broad_lam_like,program_5,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,-0.05932861707919885
broad_lam_like,program_1,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,-0.13827281360545876
broad_lam_like,program_2,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,0.2346781507529384
broad_lam_like,program_3,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,-0.024644100252037362
broad_lam_like,program_4,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,-0.11969226204194236
broad_lam_like,program_5,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,0.0332696854567906
broad_lam_like,program_1,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,-0.04384667106477854
broad_lam_like,program_2,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,0.00972372633930825
broad_lam_like,program_3,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,0.014274649230146813
broad_lam_like,program_4,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,-0.04768220202712936
broad_lam_like,program_5,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,0.019482373479873256
broad_lam_like,program_1,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,0,,0.0,-0.17402779362025003
broad_lam_like,program_2,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,2,"ACTA2,TAGLN",0.03571428571428571,0.5701101406680678
broad_lam_like,program_3,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,0,,0.0,-0.18660513259510494
broad_lam_like,program_4,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,0,,0.0,-0.30423629973503624
broad_lam_like,program_5,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,0,,0.0,-0.23205673781733702
broad_lam_like,program_1,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,-0.09841829346189647
broad_lam_like,program_2,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,0.38216163431063754
broad_lam_like,program_3,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,-0.14700235091084402
broad_lam_like,program_4,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,-0.23407149076712147
broad_lam_like,program_5,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,-0.09404609414603927
unrestricted_lam,program_1,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.14618032097717146
unrestricted_lam,program_2,CORE1,LAMCORE-specific,established,gene_set,1,COL4A1,0.017543859649122806,0.3826699540401584
unrestricted_lam,program_3,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.16807933955316165
unrestricted_lam,program_4,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.09514914947549631
unrestricted_lam,program_5,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,0.11661978263537387
unrestricted_lam,program_1,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,0.14930678180571832
unrestricted_lam,program_2,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.0605698242940464
unrestricted_lam,program_3,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,0.00691190976176455
unrestricted_lam,program_4,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,0.291619753601378
unrestricted_lam,program_5,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.1714508522091484
unrestricted_lam,program_1,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,0.08094613881460637
unrestricted_lam,program_2,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,0.009055928576627324
unrestricted_lam,program_3,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,-0.0928922536793254
unrestricted_lam,program_4,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,0.2780393434128407
unrestricted_lam,program_5,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,-0.09257620697650798
unrestricted_lam,program_1,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,-0.15995318324202895
unrestricted_lam,program_2,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,0.2542244847180478
