row_type,branch_id,source_state,distance_metric,score_name,n_cells,n_patients,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
model,branch_02,State_12,latent_distance,protease,605,9,-0.018880497991467196,-0.042643342588873284,0.0048823466059388886,0.11918733744472713,-0.11292259268106837,0.005424463124206135
model,branch_02,State_12,latent_distance,mTOR_translation,605,9,0.030053514286729754,-0.0022373855655587332,0.06234441413901824,0.06806826113698541,0.09092365316848548,0.025323284284839057
model,branch_02,State_12,latent_distance,T_NK,605,9,0.004842443589111034,-0.0028271108131504765,0.012511997991372545,0.2154587379016057,0.11838283057645382,0.0035446979989280695
model,branch_02,State_12,latent_distance,macrophage,605,9,0.007287319334570108,-0.04540525902903298,0.0599798976981732,0.786013713891271,0.008769528981647045,0.8295646590067576
model,branch_02,State_12,latent_distance,AT2,605,9,-0.3924555065251984,-0.4826199405380441,-0.3022910725123527,1.0528787485279036e-16,-0.3624540870103643,3.206102509086076e-20
model,branch_02,State_12,latent_distance,endothelial,605,9,0.13143398696555447,0.09242078518774,0.17044718874336895,8.209748241236918e-11,0.17813181042987897,1.0447353743145719e-05
model,branch_02,State_12,latent_distance,lymphatic_endothelial,605,9,0.07360446972398554,0.031134414590491995,0.1160745248574791,0.0007094448400299505,0.048055024363613884,0.23790685253635255
model,branch_02,State_12,latent_distance,fibroblast,605,9,-0.1326082983901363,-0.16632032718737927,-0.09889626959289331,4.7595228675862804e-14,-0.31283398516360356,3.343925025400913e-15
model,branch_02,State_12,latent_distance,pericyte_VSMC,605,9,-0.03348533845637869,-0.05860079336584363,-0.008369883546913745,0.009057707567986939,-0.027865871654663532,0.4938961183515745
model,branch_02,State_12,latent_distance,mesothelial,605,9,0.020290436775343954,0.010552590116137048,0.03002828343455086,4.861837338348398e-05,-0.007434094982260209,0.8552068942222592
model,branch_02,State_12,latent_distance,ciliated,605,9,-0.015574234493739231,-0.025630649270760697,-0.005517819716717767,0.0024572085021282355,-0.19297351055432863,1.7380119654388256e-06
model,branch_02,State_12,graph_hop,LAMCORE_full,605,9,0.0030903485782865126,-0.0008762976033313773,0.007056994759904402,0.12652639586159445,-0.030773930402493554,0.4499177543441501
model,branch_02,State_12,graph_hop,LAMCORE_no_gate,605,9,0.003144751574686573,-0.0008527307553670097,0.007142233904740156,0.12287474001009298,-0.031561403543558304,0.4384014302192748
model,branch_02,State_12,graph_hop,LAMCORE_outside_scVI,605,9,0.00529079409548287,0.002265614338578811,0.00831597385238693,0.0006342575695404932,0.05067407034363617,0.21326434658144608
model,branch_02,State_12,graph_hop,LAMCORE_independent,605,9,0.005160877267754278,0.0021256856173118305,0.008196068918196726,0.0008920626147183213,0.04472372417513654,0.27205920655660115
model,branch_02,State_12,graph_hop,CORE1,605,9,-0.018303348603872057,-0.03424571762561256,-0.002360979582131561,0.024507934106451155,-0.1782203168320224,1.0340550626161876e-05
model,branch_02,State_12,graph_hop,CORE2,605,9,0.006789293090986442,-0.003099278383367819,0.016677864565340705,0.1780381471969083,-0.011958476994676939,0.7691080285682752
model,branch_02,State_12,graph_hop,CORE3,605,9,-0.0025209015941944912,-0.012050798070562384,0.007008994882173401,0.6035931625379202,-0.03536258180127739,0.3852425671645013
model,branch_02,State_12,graph_hop,melanocytic,605,9,0.008705086832049957,-0.006618810913182321,0.024028984577282236,0.2650132262633858,0.04830971334870793,0.23542598790156194
model,branch_02,State_12,graph_hop,myogenic,605,9,-0.008505863378923853,-0.026538654182740203,0.009526927424892497,0.3546255643861526,-0.07204443635982007,0.07661134704002179
model,branch_02,State_12,graph_hop,VEGFD,605,9,0.0017647755305343973,-0.016532747446506423,0.020062298507575217,0.8498269654940569,-0.022845224028244897,0.5749138999846468
model,branch_02,State_12,graph_hop,CTSK,605,9,-0.05638034903493863,-0.08937866518389365,-0.02338203288598361,0.0008424097584416831,-0.167271944019451,3.549469941718983e-05
model,branch_02,State_12,graph_hop,lam_support,605,9,-0.0007703247444710293,-0.01546050177018783,0.013919852281245771,0.918008586205548,-0.04211546074328983,0.3010333573693661
model,branch_02,State_12,graph_hop,HOX_PBX,605,9,0.016124364525842746,0.005422955996270332,0.026825773055415163,0.0032070792133097412,0.11274705595936739,0.0054975879110213954
model,branch_02,State_12,graph_hop,hormone,605,9,-0.012322520084901173,-0.02405624415349435,-0.0005887960163079957,0.03959268356550593,-0.05838247031873705,0.15149446902254227
