gene,KO_vehicle_minus_WT_vehicle,KO_rapamycin_minus_KO_vehicle,KO_rapamycin_vs_WT_vehicle_descriptive
TTTY13,-0.19403040933333326,0.20363020016666655,0.009599790833333288
GGT6,,,
KCNJ5,-0.11964773533333328,-0.09001842933333337,-0.20966616466666665
ISM1,,,
HECW1-IT1,,,
OR2L13,-0.15117769833333328,-0.32181459700000015,-0.4729922953333334
LOC101927418,0.14036559566666662,-0.049897388333333126,0.0904682073333335
SPHKAP,-1.8879081133333333,1.621490960000001,-0.2664171533333324
LOC441242,-0.02629928199999987,-0.5284572586666668,-0.5547565406666667
MYL10,,,
FZD3,1.283178829999997,-0.21947562333333437,1.0637032066666627
ETV4,-5.2155854926666665,3.5179933336666656,-1.697592159000001
TRAF3IP2,-2.4416513473333348,1.9428496404999995,-0.49880170683333525
MOB2,-0.53542004,1.3301317126666659,0.7947116726666659
TOP2B,0.4352271058333331,-0.09537913433333323,0.3398479714999999
A4GALT,-0.09682551866666655,0.048224956333333346,-0.04860056233333321
SLC1A6,0.12002283766666633,-0.6117528016666656,-0.49172996399999924
LINC01088,,,
HKDC1,-0.7749510869444447,0.36614580266666685,-0.40880528427777785
SP3,-0.801168760166667,2.1942830596666667,1.3931142994999997
PWAR5,,,
CDC16,-0.45068728383333356,-0.25684559916666583,-0.7075328829999994
DPY19L1P1,0.015197746666666623,-0.12759713066666667,-0.11239938400000005
IDH2,-0.44969432933333353,0.0004468326666664524,-0.4492474966666671
DPP10,,,
CDH12,0.07848840999999995,0.10960375133333333,0.18809216133333329
RFX4,,,
STAT2,3.214443039333333,2.0165230670000005,5.230966106333334
LOC100506403,0.39855470766666623,-0.593751512333333,-0.19519680466666678
ITIH1,-0.0931467760000001,0.13439872200000003,0.04125194599999993
VCPIP1,2.7265727646666664,1.0442803363333324,3.770853100999999
USP4,-0.24252404166666697,-0.83342166,-1.075945701666667
LOC339593,,,
RLN2,,,
NAB2,3.551307886999999,1.2553890486666672,4.8066969356666664
PPFIBP2,1.013586292666667,-0.3857964140000003,0.6277898786666667
PDE6B,-2.7959922966666664,0.31758098600000007,-2.478411310666666
POLD2,-4.890147486666667,-1.8634716400000002,-6.753619126666667
UBE2D3,2.520750318266664,3.7892216659000013,6.3099719841666655
RBBP7,-2.3223279666666627,6.245432976666649,3.9231050099999862
C19orf18,,0.101945238,
LINC00959,0.014095646333333267,0.27954575400000015,0.2936414003333334
TBCA,,,
CNGA1,-0.15717337999999992,0.04902479866666665,-0.10814858133333327
TMEM253,,,
IFIT1,39.35320406666666,-17.948115726666664,21.405088340000002
PRIM2,-3.724709833333332,0.43628417333333225,-3.2884256599999997
KNDC1,,,
CTH,0.14343836333333337,-0.34168618799999995,-0.19824782466666657
SLCO1A2,0.23405757900000013,0.08728832466666658,0.3213459036666667
NHLRC3,0.3670744216666667,-0.450317301,-0.0832428793333333
LINC00473,-0.3629539715000001,-0.6522782293333336,-1.0152322008333337
STK32C,0.039353593500000006,-0.09545421383333319,-0.056100620333333184
ESR1,-0.2227220259999998,-1.1328438756666666,-1.3555659016666666
ST3GAL4,-2.2011832453333318,0.5324080949999983,-1.6687751503333335
MYF5,,,
ARHGAP22-IT1,,,
FZD5,-0.2702893679999998,0.8958599456666667,0.6255705776666669
DUSP14,-6.5839535366666695,-2.307030789999999,-8.890984326666668
VENTX,-0.07866118533333333,-0.10024525466666678,-0.1789064400000001
RASGEF1A,,,
HS2ST1,0.19247831666666615,-0.2045055786666663,-0.01202726200000015
UBE2O,-4.741924956333332,-2.0487967450000006,-6.790721701333332
RNFT2,-0.03178059916666598,0.37117454666666605,0.33939394750000007
HTATIP2,-6.82342177666667,1.1310022566666689,-5.692419520000001
WDYHV1,2.6770922733333338,5.000836269333334,7.677928542666668
ZNF507,0.18657730883333334,0.2683551388333334,0.45493244766666674
